"","logFC","AveExpr","t","P.Value","adj.P.Val","B","change"
"CYP2A7",1.58496250072116,-3.34570123633817,92.0854262208226,2.5408232668872e-05,0.00473241782509762,4.09207294006636,"UP"
"CRYBA2",1.58496250072116,-3.34570123633817,92.0854262208226,2.5408232668872e-05,0.00473241782509762,4.09207294006636,"UP"
"CRISP3",1.58496250072116,-3.34570123633817,92.0854262208226,2.5408232668872e-05,0.00473241782509762,4.09207294006636,"UP"
"CNTNAP4",1.58496250072116,-3.34570123633817,92.0854262208226,2.5408232668872e-05,0.00473241782509762,4.09207294006636,"UP"
"CFAP65",1.58496250072116,-3.34570123633817,92.0854262208226,2.5408232668872e-05,0.00473241782509762,4.09207294006636,"UP"
"CATSPER4",1.58496250072116,-3.34570123633817,92.0854262208226,2.5408232668872e-05,0.00473241782509762,4.09207294006636,"UP"
"CALCRL",1.58496250072116,-3.34570123633817,92.0854262208226,2.5408232668872e-05,0.00473241782509762,4.09207294006636,"UP"
"ARSE",1.58496250072116,-3.34570123633817,92.0854262208226,2.5408232668872e-05,0.00473241782509762,4.09207294006636,"UP"
"ARHGAP29",1.58496250072116,-3.34570123633817,92.0854262208226,2.5408232668872e-05,0.00473241782509762,4.09207294006636,"UP"
"APOA1",1.58496250072116,-3.34570123633817,92.0854262208226,2.5408232668872e-05,0.00473241782509762,4.09207294006636,"UP"
"APLN",1.58496250072116,-3.34570123633817,92.0854262208226,2.5408232668872e-05,0.00473241782509762,4.09207294006636,"UP"
"ANKRD30A",1.58496250072116,-3.34570123633817,92.0854262208226,2.5408232668872e-05,0.00473241782509762,4.09207294006636,"UP"
"ANGPTL2",1.58496250072116,-3.34570123633817,92.0854262208226,2.5408232668872e-05,0.00473241782509762,4.09207294006636,"UP"
"AL354808.2",1.58496250072116,-3.34570123633817,92.0854262208226,2.5408232668872e-05,0.00473241782509762,4.09207294006636,"UP"
"AL136373.1",1.58496250072116,-3.34570123633817,92.0854262208226,2.5408232668872e-05,0.00473241782509762,4.09207294006636,"UP"
"ADH4",1.58496250072116,-3.34570123633817,92.0854262208226,2.5408232668872e-05,0.00473241782509762,4.09207294006636,"UP"
"AC068896.1",1.58496250072116,-3.34570123633817,92.0854262208226,2.5408232668872e-05,0.00473241782509762,4.09207294006636,"UP"
"XCL2",-1.58496250072116,-3.34570123633817,-91.5083875875213,2.57948546038719e-05,0.00473241782509762,4.07697477191412,"DOWN"
"TTBK1",-1.58496250072116,-3.34570123633817,-91.5083875875213,2.57948546038719e-05,0.00473241782509762,4.07697477191412,"DOWN"
